Education,Marital_Status,Income,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases,Age,day_engaged,cluster
0,1,75251.0,0,1890,1,19,49,857,2
0,0,75825.0,0,2209,2,22,45,752,2
0,1,26326.0,0,18,0,4,45,632,1
0,1,56046.0,0,692,2,21,56,699,2
0,0,29760.0,1,165,0,12,36,855,1
0,1,26304.0,1,16,0,4,52,557,1
0,1,23559.0,1,79,0,9,48,665,1
0,1,38620.0,0,318,0,11,58,422,1
0,0,81361.0,0,778,0,27,34,310,2
0,1,29440.0,2,56,0,7,61,419,1
0,1,36138.0,2,151,1,13,51,534,1
0,0,50388.0,1,372,3,17,64,218,2
0,1,79593.0,0,1366,1,19,48,27,2
0,1,54178.0,1,194,0,10,54,345,1
0,1,52247.25135379061,3,603,0,29,64,773,1
0,0,52247.25135379061,2,18,0,4,64,219,1
0,1,52247.25135379061,0,985,0,15,48,404,2
0,0,42394.0,1,32,0,5,49,284,1
0,1,23626.0,1,43,0,10,51,222,1
0,1,30096.0,1,45,0,6,38,224,1
0,0,47916.0,1,606,1,22,61,770,2
0,0,51813.0,2,63,0,7,49,423,1
0,1,78497.0,0,978,1,25,70,719,2
0,1,50150.0,0,410,0,16,38,560,1
0,0,47823.0,1,72,0,7,61,527,1
0,0,34554.0,1,55,0,7,62,277,1
0,1,85693.0,1,1169,0,27,42,621,2
0,1,65846.0,0,1120,0,16,76,594,2
0,1,87195.0,0,1097,1,20,62,149,2
1,1,24594.0,1,29,0,5,42,446,3
0,1,49096.0,2,187,0,13,57,464,1
0,1,52413.0,2,910,0,26,52,698,2
0,0,38557.0,1,145,0,9,43,743,1
0,1,89058.0,0,850,0,14,61,903,2
0,1,77298.0,1,969,0,24,42,689,2
0,0,68126.0,0,1820,2,17,30,812,2
0,1,57288.0,1,608,1,20,58,190,2
0,0,86037.0,0,730,3,25,30,699,2
0,1,43974.0,1,551,0,21,41,750,1
0,0,50785.0,2,114,0,8,59,449,1
0,1,90765.0,0,1724,2,15,51,342,2
0,1,36550.0,1,577,0,20,43,681,1
0,1,30753.0,2,81,0,7,54,420,1
0,1,21918.0,1,33,0,7,52,413,1
0,1,56129.0,1,660,0,22,68,560,2
0,0,32557.0,1,80,1,9,54,311,1
0,1,19510.0,2,30,0,6,36,632,1
0,0,30992.0,1,43,0,5,45,619,1
0,0,101970.0,0,1135,4,27,38,394,2
0,1,71488.0,0,559,0,16,56,682,2
0,0,79607.0,0,1923,1,16,37,620,2
0,1,54348.0,2,90,0,8,68,148,1
0,1,52247.25135379061,1,404,0,17,60,420,1
0,1,77376.0,2,661,0,23,65,88,2
0,1,62998.0,1,463,0,19,69,458,2
0,0,61331.0,2,632,0,23,63,455,2
0,1,73448.0,0,725,0,19,52,91,2
0,1,52247.25135379061,1,725,0,19,58,419,2
0,1,41551.0,2,279,0,16,57,505,1
0,1,62981.0,0,1482,1,23,54,655,2
1,0,9548.0,1,29,0,6,45,876,3
0,1,33762.0,3,106,0,9,62,543,1
0,0,35860.0,2,49,2,6,48,227,1
0,0,36921.0,2,38,0,7,56,522,1
0,0,92859.0,0,2077,0,22,29,804,2
0,1,65104.0,1,1053,1,17,45,413,2
0,1,86111.0,0,1385,0,23,59,622,2
0,0,68352.0,1,871,0,25,47,491,2
0,1,41883.0,1,312,0,12,33,653,1
0,1,59809.0,2,877,0,15,45,805,1
0,1,23957.0,1,68,1,6,46,795,1
0,1,38547.0,1,22,0,4,40,491,1
0,1,35688.0,3,211,0,16,48,862,1
0,1,49605.0,0,127,0,8,55,194,1
0,1,59354.0,2,459,0,16,68,252,1
0,1,65747.0,1,460,1,19,52,182,2
0,1,46344.0,1,429,0,17,49,748,1
0,0,34176.0,1,89,0,11,33,27,1
0,1,61010.0,1,1021,0,26,69,843,2
0,1,69372.0,0,1381,3,21,72,681,2
0,0,49967.0,1,306,0,15,63,512,1
0,0,60199.0,3,18,0,4,43,388,1
0,1,55375.0,1,162,0,9,44,441,1
0,0,80317.0,0,1231,0,18,66,499,2
0,0,30523.0,3,13,0,4,63,724,1
0,1,70356.0,0,1706,0,27,76,965,2
0,1,23228.0,1,121,0,11,37,245,1
0,0,74165.0,0,1293,0,20,46,726,2
0,1,157243.0,1,1608,0,37,48,363,2
0,1,43482.0,3,88,0,9,55,414,1
0,0,62551.0,0,421,1,18,68,409,2
0,0,52332.0,0,259,1,12,62,491,1
0,0,66951.0,0,1117,0,15,33,689,2
0,1,26091.0,2,89,0,9,64,310,1
0,1,33456.0,2,36,0,6,56,255,1
0,1,28718.0,1,57,0,7,39,537,1
0,1,50447.0,2,148,0,8,51,255,1
0,1,53537.0,2,93,0,8,62,336,1
0,0,52074.0,1,119,1,7,54,272,1
0,1,80427.0,1,1835,0,28,46,753,2
0,1,83837.0,0,1318,3,25,73,746,2
0,1,38853.0,2,45,0,7,51,223,1
0,1,38285.0,3,10,0,4,62,191,1
0,1,78497.0,0,978,1,25,70,719,2
0,1,51650.0,1,191,0,10,45,57,1
0,1,16248.0,1,57,0,9,33,88,1
0,1,66835.0,0,1033,0,24,75,460,2
0,1,30477.0,1,66,0,6,37,344,1
1,1,28249.0,0,43,0,6,60,200,3
0,1,25271.0,1,50,0,5,38,964,1
0,0,32303.0,1,39,0,7,51,151,1
0,1,61286.0,1,608,0,18,55,692,2
0,1,74068.0,0,1581,0,24,45,653,2
0,1,45759.0,2,68,0,7,57,677,1
1,1,24882.0,1,80,1,5,43,844,3
0,1,66973.0,0,1282,0,28,32,594,2
0,0,36640.0,1,65,0,6,121,462,1
0,1,38872.0,1,91,0,8,33,581,1
0,1,51148.0,2,315,0,16,48,682,1
0,1,31353.0,2,31,0,6,44,368,1
0,1,69661.0,0,834,0,23,41,233,2
0,1,80067.0,0,1600,1,17,67,469,2
0,1,86718.0,0,1270,0,17,67,714,2
0,0,46854.0,2,263,2,15,48,276,1
0,0,69142.0,1,535,1,19,69,186,2
0,0,75922.0,0,1295,0,18,53,476,2
0,0,63693.0,1,1150,0,29,43,444,2
0,1,102160.0,0,1240,4,26,44,1055,2
0,0,40637.0,2,38,0,6,56,533,1
0,0,18890.0,0,35,2,4,37,812,1
0,1,29604.0,1,53,1,5,33,507,1
0,0,48721.0,2,293,0,17,58,598,1
0,1,44794.0,1,65,0,6,55,148,1
0,0,64497.0,1,1804,2,29,67,814,2
0,1,46097.0,1,241,0,15,65,641,1
0,1,77972.0,0,1101,0,20,67,289,2
0,1,44377.0,2,264,0,19,53,966,1
0,1,46014.0,2,541,0,26,47,710,1
0,1,70951.0,0,1198,0,17,36,636,2
0,1,41443.0,1,482,0,20,44,362,1
0,0,52195.0,3,17,0,4,43,27,1
0,1,83790.0,0,1615,2,25,73,412,2
0,0,44551.0,1,285,0,12,67,488,1
0,1,69508.0,1,1135,0,28,41,778,2
0,1,45204.0,1,114,0,7,33,58,1
0,1,72460.0,0,1047,0,16,52,413,2
0,1,77622.0,2,714,0,22,51,262,2
0,1,30732.0,1,185,0,13,41,610,1
0,0,63887.0,1,1245,0,32,59,875,2
0,1,42011.0,1,189,0,12,43,646,1
0,1,51369.0,1,576,0,16,45,798,1
0,0,51537.0,1,1103,0,18,69,841,2
0,1,79930.0,0,1753,0,17,49,876,2
0,1,34320.0,1,17,0,4,35,319,1
0,0,37070.0,2,433,1,23,55,652,1
0,0,81975.0,1,1588,1,14,59,610,2
0,1,38590.0,1,22,0,4,50,596,1
0,0,15033.0,0,19,0,5,70,260,1
0,1,62745.0,1,1117,0,29,56,649,2
0,1,22212.0,1,69,0,8,46,476,1
0,1,23661.0,1,23,0,5,39,629,1
0,0,79761.0,1,605,0,19,63,631,2
0,0,7500.0,1,57,0,11,48,371,1
0,0,60182.0,1,22,0,4,128,229,1
0,0,73455.0,0,2088,1,22,53,430,2
0,1,64961.0,1,1009,0,16,63,739,2
0,0,22804.0,1,26,0,5,50,519,1
0,1,73687.0,0,1627,2,22,31,399,2
0,1,61074.0,1,1102,0,31,63,867,2
0,1,31686.0,2,17,0,6,57,240,1
0,1,80134.0,1,1690,4,16,49,591,2
0,1,75027.0,1,1390,0,21,68,487,2
0,1,67546.0,0,2126,0,20,33,853,2
0,1,65176.0,1,1531,0,25,52,794,2
0,0,31160.0,1,64,0,7,46,472,1
0,0,29938.0,1,26,0,6,36,431,1
0,0,102692.0,0,1112,5,29,47,607,2
0,1,26490.0,0,210,0,11,63,831,1
0,1,75702.0,2,1148,0,26,54,855,2
0,0,30899.0,1,33,0,6,47,810,1
0,1,63342.0,1,1101,1,19,60,807,2
0,0,45989.0,1,322,0,16,57,801,1
0,0,18701.0,2,44,0,10,57,635,1
0,0,40737.0,3,17,0,4,64,507,1
0,0,15287.0,1,31,2,6,42,813,1
0,0,69674.0,2,845,0,25,53,589,2
0,1,44159.0,1,275,0,15,51,198,1
0,1,37717.0,1,25,0,4,43,769,1
0,1,43776.0,2,275,1,17,69,670,1
0,1,38179.0,2,90,0,11,55,658,1
0,1,80124.0,0,1495,1,19,58,189,2
0,1,38097.0,2,184,2,11,51,808,1
0,1,72940.0,0,981,0,13,51,561,2
0,1,22070.0,1,67,0,8,51,631,1
0,0,69267.0,0,1635,1,14,68,831,2
0,0,31788.0,1,60,0,10,38,287,1
0,1,61905.0,1,231,0,12,46,274,1
0,1,29315.0,2,48,0,10,61,211,1
0,0,33378.0,2,99,0,9,58,578,1
0,1,66313.0,1,770,0,23,58,472,2
0,0,60714.0,0,957,1,23,65,714,2
0,1,77882.0,0,818,0,12,40,246,2
0,0,69867.0,0,925,2,17,35,696,2
0,0,63841.0,1,908,0,22,53,620,2
1,1,24480.0,1,102,0,10,40,425,3
0,1,51369.0,1,576,0,16,45,798,1
0,1,37760.0,0,317,0,13,75,853,1
0,1,65640.0,1,461,0,15,47,363,1
0,1,44319.0,2,37,0,7,46,259,1
0,1,30631.0,1,70,0,7,47,390,1
0,1,75278.0,0,930,0,23,69,702,2
0,1,50898.0,2,859,0,33,65,518,2
0,0,79946.0,0,1478,0,22,55,27,2
0,0,35416.0,0,390,0,16,72,567,1
0,1,32414.0,0,52,1,5,37,634,1
0,1,38361.0,1,137,0,10,52,370,1
0,1,82497.0,0,1919,1,19,41,792,2
0,1,16626.0,2,68,0,9,50,351,1
0,1,29672.0,2,25,0,4,56,394,1
0,1,55951.0,1,1374,2,23,69,861,2
0,0,35388.0,1,32,0,5,33,547,1
0,1,42386.0,1,100,0,7,35,718,1
0,0,68627.0,0,825,0,12,39,396,2
0,0,57912.0,1,916,1,28,56,290,2
0,0,35246.0,2,62,0,11,63,260,1
0,1,58821.0,1,728,0,21,65,387,2
0,1,46377.0,1,90,0,7,43,363,1
0,0,39747.0,1,273,0,13,33,263,1
0,1,23976.0,1,66,0,10,37,370,1
0,1,80950.0,0,1213,1,23,60,644,2
0,0,27038.0,0,107,1,7,55,835,1
0,0,77457.0,0,1157,1,18,74,243,2
0,1,64100.0,1,546,1,18,57,449,2
0,1,42670.0,0,241,0,11,29,614,1
0,0,12571.0,1,53,0,11,45,348,1
0,1,22574.0,3,37,0,7,54,430,1
0,1,52247.25135379061,0,1611,2,24,32,666,2
0,0,70893.0,0,1508,0,23,45,578,2
0,1,54198.0,2,235,0,16,55,380,1
0,1,28839.0,2,32,0,7,65,59,1
0,1,40321.0,2,102,0,8,49,521,1
0,0,66503.0,1,401,0,15,36,870,1
0,1,30833.0,2,28,0,6,70,534,1
0,0,52247.25135379061,3,1052,2,21,51,496,2
0,1,64795.0,1,680,0,21,50,714,2
0,1,34421.0,1,30,0,4,47,724,1
0,0,47025.0,2,20,0,4,56,121,1
0,0,64325.0,1,1307,0,23,60,548,2
0,0,40464.0,1,630,0,24,68,426,2
0,1,62187.0,0,1283,0,18,64,604,2
0,0,14849.0,1,65,0,9,45,693,1
0,1,27255.0,1,37,0,5,37,539,1
0,1,54432.0,3,38,0,5,71,483,1
0,0,29999.0,1,160,0,12,35,687,1
0,0,24072.0,1,23,0,4,38,625,1
0,0,33996.0,0,71,0,6,32,418,1
0,1,66334.0,1,1161,1,19,65,668,2
0,1,35178.0,1,59,2,5,50,457,1
0,1,22010.0,1,33,0,7,38,550,1
0,0,62204.0,2,946,0,22,61,753,2
0,0,75693.0,0,1442,4,22,53,933,2
0,1,30675.0,1,62,0,5,49,751,1
0,1,83003.0,0,1674,2,22,56,669,2
0,1,83532.0,0,1853,1,15,122,462,2
0,0,68655.0,0,1538,0,21,33,815,2
0,0,41411.0,0,139,0,8,35,538,1
0,1,55212.0,1,1182,2,20,52,769,2
0,1,59292.0,1,507,0,18,71,567,2
1,1,27190.0,1,18,2,4,48,504,3
0,0,82623.0,0,940,0,16,69,447,2
0,1,44300.0,2,42,0,6,56,557,1
0,0,84835.0,0,1190,1,15,51,199,2
0,0,30372.0,2,44,0,8,50,737,1
0,1,33181.0,1,16,1,4,45,306,1
0,1,71113.0,1,835,0,26,64,380,2
0,1,71952.0,1,1443,2,22,35,457,2
0,0,69759.0,0,1029,1,18,55,430,2
0,1,72099.0,0,1188,0,18,47,796,2
0,0,60000.0,1,1277,0,24,45,740,2
0,0,38643.0,2,49,0,7,43,398,1
0,1,50737.0,1,99,1,7,66,422,1
0,1,68462.0,0,1670,0,15,52,750,2
0,1,65073.0,0,900,0,14,78,499,2
0,1,46681.0,2,425,0,16,73,509,1
0,1,78618.0,0,2153,1,22,64,825,2
0,0,62187.0,1,636,0,21,52,285,2
0,1,28442.0,2,57,0,10,43,311,1
0,1,37717.0,1,25,0,4,43,769,1
0,1,51479.0,2,494,0,22,54,734,1
0,0,54803.0,1,693,0,19,52,863,2
0,1,79530.0,0,1348,0,26,61,594,2
0,0,31615.0,1,51,0,7,45,656,1
0,1,72025.0,0,1932,0,16,59,775,2
0,0,52614.0,1,990,0,16,46,1085,2
0,1,35684.0,1,30,0,5,37,254,1
0,1,48178.0,2,254,0,16,46,795,1
0,0,29548.0,1,29,1,5,51,490,1
0,0,63810.0,1,1371,1,23,55,781,2
0,0,38578.0,2,73,1,9,49,558,1
0,0,46098.0,2,120,0,11,46,866,1
0,0,22585.0,0,81,2,5,51,654,1
0,0,30279.0,1,37,0,5,32,732,1
0,1,66426.0,1,1377,0,20,60,690,2
0,0,30822.0,1,51,0,5,52,566,1
0,1,33581.0,2,17,0,4,52,518,1
0,1,19986.0,1,22,0,4,36,413,1
0,0,27421.0,0,324,0,14,67,750,1
0,1,35688.0,3,211,0,16,48,862,1
0,0,36143.0,1,19,0,4,40,277,1
0,0,10245.0,1,41,0,8,50,596,1
0,1,43795.0,1,492,2,17,53,442,2
0,1,63381.0,1,1005,0,26,61,966,2
0,1,38823.0,1,114,0,7,72,854,1
0,0,83664.0,2,1173,0,19,53,514,2
0,1,90300.0,0,1738,1,19,42,306,2
0,1,62499.0,1,222,0,12,42,476,1
0,0,74293.0,0,1127,0,16,28,271,2
0,1,51012.0,0,209,0,10,75,623,1
0,1,70777.0,1,787,0,23,53,310,2
0,1,68682.0,0,1598,0,24,30,570,2
0,1,43824.0,2,186,0,12,50,838,1
0,1,15345.0,1,47,1,6,37,853,1
0,0,23442.0,1,27,0,5,34,738,1
0,1,14515.0,1,96,1,11,41,842,1
0,0,31395.0,2,64,0,10,65,649,1
0,1,75276.0,0,1040,0,23,56,826,2
0,0,42373.0,2,163,0,13,47,504,1
0,1,30507.0,0,343,0,11,61,424,1
0,0,55521.0,3,446,2,24,66,436,1
0,1,48006.0,2,41,0,5,56,117,1
0,0,27213.0,1,70,1,9,49,854,1
0,0,65808.0,2,272,0,14,50,216,1
0,1,30351.0,1,46,0,6,47,574,1
0,1,50437.0,2,490,0,19,58,806,1
0,0,23616.0,1,79,1,8,39,775,1
0,1,53858.0,1,915,0,17,45,842,2
0,1,66465.0,1,1485,1,35,66,642,2
0,0,46923.0,1,369,0,16,34,862,1
0,1,75072.0,1,1073,0,19,59,708,2
0,1,75865.0,0,1242,0,19,78,276,2
0,1,19789.0,1,78,1,9,46,407,1
0,1,80134.0,0,1378,4,21,27,321,2
0,0,91065.0,0,1474,3,26,40,678,2
0,1,49505.0,2,751,0,29,50,608,2
0,1,37401.0,1,48,0,7,48,210,1
0,1,30096.0,1,45,0,6,38,224,1
0,1,18492.0,1,10,0,4,39,240,1
0,1,82584.0,0,1435,3,16,47,635,2
0,1,93027.0,0,2119,1,22,80,628,2
0,1,48686.0,3,20,0,4,68,629,1
0,1,92910.0,0,1795,3,27,35,252,2
0,1,75433.0,1,1188,2,19,32,242,2
0,1,10404.0,1,43,0,7,32,271,1
0,1,61314.0,1,1008,0,24,53,616,2
0,0,84865.0,0,1688,5,16,60,483,2
0,1,42387.0,1,684,0,21,32,794,1
0,1,67309.0,2,1082,0,39,54,708,2
0,1,75236.0,1,1068,0,25,57,402,2
0,0,30015.0,1,57,0,7,51,333,1
0,1,50943.0,1,46,0,5,65,559,1
0,0,67272.0,1,733,0,23,55,376,2
0,0,51529.0,1,467,0,17,72,541,1
0,1,32011.0,1,122,0,10,50,497,1
0,1,7500.0,1,36,0,7,35,548,1
0,1,28691.0,1,34,0,5,32,634,1
0,1,56223.0,1,156,0,10,73,377,1
0,1,18100.0,0,14,0,4,75,572,1
0,0,30279.0,1,37,0,5,32,732,1
0,1,20130.0,0,34,0,5,47,290,1
0,0,23295.0,0,20,0,4,62,537,1
0,0,42618.0,1,192,0,11,49,478,1
0,0,81246.0,0,1379,2,17,57,368,2
0,1,24027.0,1,48,0,7,45,482,1
0,1,55707.0,1,428,0,16,68,375,1
0,0,57959.0,1,868,0,27,66,695,2
0,1,56796.0,1,1001,0,27,52,684,2
0,0,36230.0,1,59,0,7,50,441,1
0,1,70829.0,2,431,0,16,41,719,1
0,1,65991.0,1,971,0,27,45,906,2
0,1,38988.0,3,348,0,19,49,864,1
0,0,89572.0,0,2059,3,24,55,838,2
0,1,42207.0,1,265,2,14,37,727,1
0,1,50300.0,1,270,0,13,69,221,1
0,1,66664.0,0,1289,0,19,39,828,2
0,1,60597.0,1,893,2,16,57,365,2
0,0,70165.0,0,926,0,22,72,466,2
0,0,50520.0,1,135,0,9,63,338,1
0,1,80124.0,0,1495,1,19,58,189,2
0,1,33183.0,1,120,0,9,46,311,1
0,0,66582.0,0,1288,0,20,52,304,2
0,1,75261.0,0,1743,3,17,66,618,2
0,0,31880.0,1,15,0,4,51,792,1
0,1,53790.0,2,542,0,20,70,212,1
0,1,49269.0,1,890,0,25,50,869,2
0,1,61456.0,1,1388,0,33,46,645,2
0,1,37406.0,1,17,1,4,41,448,1
0,1,56937.0,1,906,2,30,40,998,2
0,1,38415.0,2,44,0,6,43,699,1
0,0,20518.0,1,25,0,5,33,228,1
0,1,62503.0,1,973,0,26,65,682,2
0,0,41644.0,2,31,0,6,49,118,1
0,1,55842.0,1,518,0,17,44,223,1
0,1,62010.0,1,530,0,19,49,800,2
0,1,41124.0,1,506,0,21,44,792,1
0,1,38961.0,1,70,0,6,48,367,1
0,0,37760.0,1,54,0,6,49,419,1
0,0,32233.0,1,296,2,12,47,865,1
0,1,43057.0,1,266,0,15,46,428,1
0,1,83151.0,0,747,0,19,61,813,2
0,0,78825.0,0,895,1,29,57,839,2
0,1,65104.0,1,1053,0,17,45,413,2
0,1,60093.0,1,735,0,21,47,554,2
0,1,14045.0,1,20,0,5,52,340,1
0,0,28457.0,0,205,0,10,69,795,1
0,1,78952.0,1,2092,0,21,63,829,2
0,0,46310.0,1,309,0,14,45,1025,1
0,1,76005.0,0,1722,1,22,66,678,2
0,0,58308.0,1,900,0,15,57,396,2
0,0,55614.0,0,682,1,20,77,400,2
0,0,59432.0,1,663,0,22,59,628,2
0,0,55563.0,1,43,0,6,43,242,1
0,1,78642.0,1,1816,0,18,50,620,2
0,1,67911.0,1,976,0,27,72,224,2
0,1,65275.0,0,746,0,21,77,668,2
0,1,27203.0,2,64,0,6,71,937,1
0,1,48330.0,1,32,0,5,60,412,1
1,1,24279.0,0,263,0,9,31,733,3
0,1,64355.0,1,1445,0,21,36,860,2
0,1,50943.0,1,46,0,5,65,559,1
0,0,53653.0,0,1210,0,28,68,904,2
0,1,65665.0,1,945,0,24,45,688,2
0,0,81217.0,0,1157,0,22,32,531,2
0,1,34935.0,0,137,0,8,29,559,1
0,0,61250.0,1,730,0,25,62,746,2
0,1,39665.0,1,216,1,12,40,586,1
0,0,60152.0,1,943,0,23,42,644,2
0,1,48920.0,2,347,1,16,57,438,1
0,1,89120.0,0,1924,1,19,62,290,2
0,1,44124.0,1,397,0,17,75,422,1
0,0,81169.0,0,2089,0,22,46,627,2
0,1,36443.0,2,138,0,11,60,670,1
0,0,26095.0,1,42,0,5,31,550,1
0,1,71367.0,0,777,0,17,62,496,2
0,1,80184.0,0,1902,2,20,77,363,2
0,0,30630.0,2,52,0,7,56,339,1
0,0,73454.0,0,1651,1,13,34,363,2
0,1,42691.0,0,358,0,13,30,503,1
0,1,70503.0,0,1727,2,16,68,823,2
0,1,25545.0,1,210,1,10,34,875,1
0,1,32880.0,1,42,0,5,35,994,1
0,1,77863.0,0,1291,0,20,63,400,2
0,1,50353.0,0,442,0,15,44,148,1
0,0,61839.0,0,1895,0,17,57,754,2
0,1,49154.0,2,411,0,19,61,661,1
0,0,47682.0,1,521,0,19,46,685,1
0,0,72679.0,1,1168,0,17,52,470,2
0,1,57954.0,2,493,1,23,44,197,1
0,1,65316.0,2,260,0,12,59,617,1
0,0,28567.0,1,46,0,7,39,563,1
0,1,47352.0,1,319,0,16,70,423,1
0,1,44931.0,1,96,0,7,54,348,1
0,0,76982.0,0,1062,2,16,54,320,2
0,1,57247.0,1,232,0,12,69,511,1
0,0,22944.0,1,76,0,9,40,374,1
0,1,25315.0,1,54,0,9,44,539,1
0,0,43638.0,1,201,0,11,52,937,1
0,0,42710.0,1,406,0,14,37,764,1
0,1,84169.0,0,1919,3,20,39,542,2
0,1,54058.0,1,662,0,20,45,635,2
0,1,24683.0,1,41,0,8,31,151,1
0,0,85620.0,0,1600,1,14,57,184,2
0,1,47850.0,1,134,0,8,41,660,1
0,1,19514.0,2,69,2,10,53,340,1
0,1,27159.0,2,21,0,6,48,278,1
0,0,39548.0,2,54,0,7,58,276,1
0,0,21474.0,1,91,2,8,32,150,1
0,0,60504.0,1,526,0,18,50,183,1
0,1,22419.0,0,162,0,8,58,623,1
0,1,81698.0,0,1008,1,25,72,569,2
0,1,43462.0,2,240,0,16,69,753,1
0,0,54880.0,1,795,0,21,43,728,2
0,1,79908.0,0,1772,1,19,39,607,2
0,1,15315.0,0,64,0,8,51,664,1
0,1,87771.0,1,1957,5,20,62,589,2
0,1,33039.0,1,78,0,7,43,479,1
0,0,81741.0,0,1572,0,19,41,564,2
0,1,71499.0,1,795,0,26,50,555,2
0,1,62466.0,1,889,0,26,51,351,2
0,0,48799.0,1,331,0,15,58,600,1
0,1,52157.0,1,265,0,12,71,179,1
0,0,66565.0,1,1065,0,19,59,964,2
0,1,29298.0,2,11,0,4,70,541,1
0,0,47691.0,1,21,0,4,42,604,1
0,1,38200.0,2,17,0,4,51,903,1
0,1,44989.0,1,369,0,16,47,753,1
0,1,38443.0,2,38,0,6,53,339,1
0,0,38593.0,1,177,0,11,43,475,1
0,1,64413.0,1,279,0,12,51,723,1
0,1,36959.0,1,62,0,7,40,690,1
0,1,61996.0,1,1230,4,21,44,700,2
0,1,51287.0,2,182,0,11,53,362,1
0,1,13260.0,2,49,0,10,51,496,1
0,1,47472.0,2,75,0,8,55,472,1
0,1,54603.0,2,227,0,16,65,481,1
0,1,45207.0,2,215,1,15,47,812,1
0,1,40689.0,1,444,0,20,70,654,1
0,1,47821.0,2,47,0,5,54,438,1
0,1,27450.0,0,143,0,7,70,626,1
0,1,39453.0,1,55,0,7,38,303,1
0,1,26850.0,2,63,0,11,50,258,1
0,0,79800.0,0,1867,4,22,66,830,2
0,1,61794.0,1,611,0,20,60,474,2
0,1,53863.0,1,473,1,18,66,229,2
0,1,24221.0,0,55,0,6,62,499,1
0,0,39684.0,1,81,1,7,37,752,1
0,1,92163.0,0,2086,3,21,46,750,2
0,0,69882.0,0,1478,0,20,56,447,2
0,1,33178.0,1,49,0,5,44,336,1
0,1,59973.0,0,382,0,15,49,418,1
